SMA,year,emp
"Altoona, PA",1979,19123.435596897907
"Altoona, PA",1980,19804.244201643916
"Altoona, PA",1981,18424.441960478613
"Altoona, PA",1982,17400.972131355116
"Altoona, PA",1983,17377.135013887935
"Altoona, PA",1984,19018.575911426404
"Altoona, PA",1985,19418.211766913202
"Altoona, PA",1986,17887.957634886992
"Altoona, PA",1987,18791.572522985203
"Altoona, PA",1988,19230.753816071985
"Altoona, PA",1989,19395.659825481274
"Altoona, PA",1990,21051.877075704346
"Altoona, PA",1991,19372.739240879997
"Altoona, PA",1992,19348.2273795092
"Altoona, PA",1993,20571.91332169082
"Altoona, PA",1994,20508.938253531207
"Altoona, PA",1995,21882.19946357184
"Altoona, PA",1996,21598.018344701788
"Altoona, PA",1997,22909.68440471064
"Altoona, PA",1998,49024.00012256205
"Altoona, PA",1999,49788.00012551248
"Altoona, PA",2000,51142.00011640787
"Altoona, PA",2001,48934.00011070073
"Altoona, PA",2002,48192.00010176003
"Altoona, PA",2003,49959.00000016391
"Altoona, PA",2004,49755.0
"Altoona, PA",2005,50352.000000193715
"Altoona, PA",2006,51036.0
"Altoona, PA",2007,51513.0000000298
"Altoona, PA",2008,52009.0
"Altoona, PA",2009,49608.0
"Altoona, PA",2010,50399.0
"Altoona, PA",2011,50281.0
"Altoona, PA",2012,50517.0
"Altoona, PA",2013,51944.0
"Altoona, PA",2014,50227.0
"Altoona, PA",2015,54405.0
"Altoona, PA",2016,53633.0
"Altoona, PA",2017,42826.0
"Altoona, PA",2018,44663.0
"Amarillo, TX",1975,22462.42746390988
"Amarillo, TX",1976,25517.449120363588
"Amarillo, TX",1977,26892.744741105795
"Amarillo, TX",1978,29610.44602905651
"Amarillo, TX",1979,32394.044990002814
"Amarillo, TX",1980,31226.790663865755
"Amarillo, TX",1981,32154.897928989085
"Amarillo, TX",1982,33028.83874780502
"Amarillo, TX",1983,31635.70323664535
"Amarillo, TX",1984,33163.398112702394
"Amarillo, TX",1985,35304.77612601193
"Amarillo, TX",1986,32400.91038081931
"Amarillo, TX",1987,31505.26736233315
"Amarillo, TX",1988,32108.360448793806
"Amarillo, TX",1989,31617.472376764406
"Amarillo, TX",1990,30886.06995456136
"Amarillo, TX",1991,31400.784550316843
"Amarillo, TX",1992,32350.696539821613
"Amarillo, TX",1993,34916.92365418454
"Amarillo, TX",1994,35326.620854080444
"Amarillo, TX",1995,37236.747970595185
"Amarillo, TX",1996,38077.336328329446
"Amarillo, TX",1997,37530.50739177397
"Amarillo, TX",1998,79410.00022536516
"Amarillo, TX",1999,80901.00021375716
"Amarillo, TX",2000,83153.00025506318
"Amarillo, TX",2001,86170.00024011731
"Amarillo, TX",2002,79084.00019523501
"Amarillo, TX",2003,79207.00000029802
"Amarillo, TX",2004,84243.00000095367
"Amarillo, TX",2005,87681.00000043213
"Amarillo, TX",2006,92161.00000117719
"Amarillo, TX",2007,85391.00000053644
"Amarillo, TX",2008,87242.00000074506
"Amarillo, TX",2009,85282.0
"Amarillo, TX",2010,84196.0
"Amarillo, TX",2011,86165.0
"Amarillo, TX",2012,92308.0
"Amarillo, TX",2013,92901.0
"Amarillo, TX",2014,93219.0
"Amarillo, TX",2015,93917.0
"Amarillo, TX",2016,93630.0
"Amarillo, TX",2017,75198.0
"Amarillo, TX",2018,77778.0
"Anchorage, AK",1975,18436.16074167261
"Anchorage, AK",1976,22762.728640546866
"Anchorage, AK",1977,21119.389098707183
"Anchorage, AK",1978,22940.777842077394
"Anchorage, AK",1979,22276.681142651458
"Anchorage, AK",1980,21843.07178490592
"Anchorage, AK",1981,25108.162329862396
"Anchorage, AK",1982,29741.947726930455
"Anchorage, AK",1983,31847.63917147551
"Anchorage, AK",1984,33932.47437561088
"Anchorage, AK",1985,35422.522533195835
"Anchorage, AK",1986,31390.438743258594
"Anchorage, AK",1987,31257.6441966291
"Anchorage, AK",1988,30865.244065940784
"Anchorage, AK",1989,33075.23696027497
"Anchorage, AK",1990,36239.069122179884
"Anchorage, AK",1991,36480.54873098749
"Anchorage, AK",1992,37438.79265128532
